							Integrated Y1	Integrated Y 2	Integrated Y 3
	20120613_Lumatec2_Filter0_5cm_geringe_Leitstung_0.7W.txt	20120613_Lumatec2_Filter3_5cm_geringe_Leistung_0.36W.txt	20120623_Lumatec2_Filter1_5cm_geringeLeistung_0.39W.txt		Lumatec 2 Filter 3 skaliert		20120613_Lumatec2_Filter0_5cm_geringe_Leitstung_0.7W.txt	20120613_Lumatec2_Filter3_5cm_geringe_Leistung_0.36W.txt	20120623_Lumatec2_Filter1_5cm_geringeLeistung_0.39W.txt
405,19	1276,6	2,4318	1350,2		1,2159		7369,439699	61595,015681	48096,952756
405,97	1336,2	2,3298	1383,6		1,1649		8388,43169900004	61596,872705	49163,134756
406,75	1378,8	2,2313	1404,3		1,11565		9447,281699	61598,651534	50250,415756
407,54	1399,3	2,1485	1407,6		1,07425		10544,631199	61600,381555	51361,116256
408,32	1387,9	2,0472	1384		1,0236		11631,639199	61602,017878	52449,840256
409,1	1339,3	1,9363	1329,5		0,96815		12695,247199	61603,571443	53508,105256
409,88	1261,3	1,8514	1251		0,9257		13709,481199	61605,048646	54514,500256
410,67	1174,5	1,7934	1165,7		0,8967		14671,622199	61606,488342	55469,096756
411,45	1093,6	1,7338	1086,1		0,8669		15556,181199	61607,86395	56347,298756
412,23	1024,7	1,6763	1018,2		0,83815		16382,318199	61609,193889	57167,975756
413,02	969,44	1,6258	963,39		0,8129		17170,003499	61610,4982185	57950,703806
413,8	926,65	1,5819	920,99		0,79095		17909,478599	61611,7492215	58685,612006
414,58	893,46	1,537	888,24		0,7685		18619,321499	61612,9655925	59391,211706
415,36	866,2	1,4991	861,47		0,74955		19305,588899	61614,1496715	60073,598606
416,15	843,54	1,4548	839,51		0,7274		19980,936199	61615,316462	60745,485706
416,93	824,57	1,421	821,38		0,7105		20631,499099	61616,438024	61393,232806
417,71	809,64	1,3868	807,2		0,6934		21268,840999	61617,533066	62028,379006
418,49	800,5	1,3562	798,72		0,6781		21896,795599	61618,602836	62654,687806
419,27	797,07	1,3253	795,82		0,66265		22519,847899	61619,648621	63276,558406
420,06	798,45	1,3004	797,73		0,6502		23150,078299	61620,6857725	63906,010656
420,84	803,65	1,2776	803,5		0,6388		23774,897299	61621,6911925	64530,490356
421,62	811,28	1,2493	811,8		0,62465		24404,719999	61622,6766835	65160,457356
422,4	821,08	1,2193	822,52		0,60965		25041,340399	61623,6394375	65797,842156
423,18	832,54	1,1952	835,06		0,5976		25686,252199	61624,5810925	66444,298356
423,96	846,42	1,1733	850,32		0,58665		26341,046599	61625,5048075	67101,596556
424,75	862,9	1,1579	868,21		0,57895		27016,227999	61626,4256315	67780,415906
425,53	883,62	1,1364	890,31		0,5682		27697,370799	61627,3204085	68466,238706
426,31	908,04	1,115	916,1		0,5575		28396,118199	61628,1984545	69170,738606
427,09	934,98	1,0972	944,19		0,5486		29114,895999	61629,0612125	69896,251706
427,87	961,42	1,0737	971,7		0,53685		29854,491999	61629,9078635	70643,448806
428,65	987,51	1,0465	998,46		0,52325		30614,574699	61630,7347415	71411,811206
429,43	1016,2	1,0337	1027,3		0,51685		31396,021599	61631,5460195	72201,857606
430,21	1054,2	1,0459	1064,4		0,52295		32203,477599	61632,3570635	73017,620606
430,99	1111,2	1,1289	1117,4		0,56445		33047,983599	61633,2052355	73868,522606
431,77	1165,4	1,2575	1170,6		0,62875		33935,857599	61634,1359315	74760,842606
432,56	1215,6	1,3001	1219,7		0,65005		34876,352599	61635,1461835	75705,011106
433,34	1261,6	1,2829	1264,4		0,64145		35842,460599	61636,1535535	76673,810106
434,12	1301,6	1,2601	1303,2		0,63005		36842,108599	61637,1453235	77675,174106
434,9	1335,8	1,2393	1336,2		0,61965		37870,694599	61638,1200895	78704,540106
435,68	1365,8	1,2165	1365,1		0,60825		38924,318599	61639,0778515	79758,047106
436,46	1393,3	1,1986	1391,6		0,5993		40000,367599	61640,0197405	80833,160106
437,24	1418,8	1,1834	1416,2		0,5917		41097,086599	61640,9487205	81928,202106
438,02	1439,1	1,1568	1434		0,5784		42211,667599	61641,8613985	83039,780106
438,8	1433,5	1,1091	1428,3		0,55455		43331,981599	61642,7450995	84156,077106
439,58	1399,9	1,0038	1397,4		0,5019		44437,007599	61643,5691305	85258,100106
440,36	1360,4	0,85383	1357,9		0,426915		45513,524599	61644,2936062	86332,667106
441,14	1317,1	0,78248	1314,6		0,39124		46557,749599	61644,9317671	87374,942106
441,92	1270,3	0,76397	1268		0,381985		47566,835599	61645,5348826	88382,156106
442,7	1221,4	0,75029	1219,3		0,375145		48538,598599	61646,125444	89352,203106
443,48	1170,5	0,73773	1168,7		0,368865		49471,439599	61646,7057718	90283,523106
444,26	1116,9	0,72753	1115,6		0,363765		50363,525599	61647,2772232	91174,400106
445,03	1061,2	0,71778	1060,7		0,35889		51202,094099	61647,83366755	92012,275606
